PROJECT;FILE;LOC;COM;BLK;NOF;NOC;APF;AMC;NER;NEH;CYC;MAD;BUILD_FAIL
scikit-learn;./scikit-learn\examples\decomposition\plot_pca_vs_fa_model_selection.py;113;12;30;3;0;1.0;0.0;0;0;3;9;0
scikit-learn;./scikit-learn\examples\decomposition\plot_pca_vs_lda.py;51;3;16;0;0;0.0;0.0;0;0;3;8;0
scikit-learn;./scikit-learn\examples\decomposition\plot_sparse_coding.py;106;10;17;2;0;3.0;0.0;0;0;4;10;0
scikit-learn;./scikit-learn\examples\decomposition\plot_varimax_fa.py;63;8;15;0;0;0.0;0.0;0;0;2;8;0
scikit-learn;./scikit-learn\examples\developing_estimators\sklearn_is_fitted.py;61;12;14;5;1;2.2;5.0;0;0;3;9;0
scikit-learn;./scikit-learn\examples\ensemble\plot_adaboost_multiclass.py;224;119;28;1;0;2.0;0.0;0;0;1;11;0
scikit-learn;./scikit-learn\examples\ensemble\plot_adaboost_regression.py;61;20;18;0;0;0.0;0.0;0;0;1;9;0
scikit-learn;./scikit-learn\examples\ensemble\plot_adaboost_twoclass.py;92;7;14;0;0;0.0;0.0;0;0;3;7;0
scikit-learn;./scikit-learn\examples\ensemble\plot_bias_variance.py;146;16;45;2;0;2.0;0.0;0;0;12;10;0
scikit-learn;./scikit-learn\examples\ensemble\plot_ensemble_oob.py;85;10;17;0;0;0.0;0.0;0;0;4;8;0
scikit-learn;./scikit-learn\examples\ensemble\plot_feature_transformation.py;128;41;42;2;0;2.0;0.0;0;0;3;7;0
scikit-learn;./scikit-learn\examples\ensemble\plot_forest_hist_grad_boosting_comparison.py;197;76;29;0;0;0.0;0.0;0;0;3;9;0
scikit-learn;./scikit-learn\examples\ensemble\plot_forest_importances.py;98;41;22;0;0;0.0;0.0;0;0;1;8;0
scikit-learn;./scikit-learn\examples\ensemble\plot_forest_iris.py;146;29;30;0;0;0.0;0.0;0;0;7;12;0
scikit-learn;./scikit-learn\examples\ensemble\plot_gradient_boosting_categorical.py;233;88;48;1;0;1.0;0.0;0;0;4;9;0
scikit-learn;./scikit-learn\examples\ensemble\plot_gradient_boosting_early_stopping.py;152;52;30;0;0;0.0;0.0;0;0;4;9;0
scikit-learn;./scikit-learn\examples\ensemble\plot_gradient_boosting_oob.py;116;14;27;2;0;2.0;0.0;0;0;3;9;0
scikit-learn;./scikit-learn\examples\ensemble\plot_gradient_boosting_quantile.py;297;156;41;3;0;1.67;0.0;0;0;7;10;0
scikit-learn;./scikit-learn\examples\ensemble\plot_gradient_boosting_regression.py;145;60;21;0;0;0.0;0.0;0;0;3;7;0
scikit-learn;./scikit-learn\examples\ensemble\plot_gradient_boosting_regularization.py;71;4;19;0;0;0.0;0.0;0;0;3;10;0
scikit-learn;./scikit-learn\examples\ensemble\plot_hgbt_regression.py;374;154;55;1;0;2.0;0.0;0;0;4;10;0
scikit-learn;./scikit-learn\examples\ensemble\plot_isolation_forest.py;103;44;23;0;0;0.0;0.0;0;0;1;8;0
scikit-learn;./scikit-learn\examples\ensemble\plot_monotonic_constraints.py;89;23;23;0;0;0.0;0.0;0;0;2;11;0
scikit-learn;./scikit-learn\examples\ensemble\plot_random_forest_embedding.py;87;12;24;0;0;0.0;0.0;0;0;1;9;0
scikit-learn;./scikit-learn\examples\ensemble\plot_random_forest_regression_multioutput.py;82;5;14;0;0;0.0;0.0;0;0;1;11;0
scikit-learn;./scikit-learn\examples\ensemble\plot_stack_predictors.py;208;73;50;1;0;0.0;0.0;0;0;3;12;0
scikit-learn;./scikit-learn\examples\ensemble\plot_voting_decision_regions.py;184;43;34;0;0;0.0;0.0;0;0;3;10;0
scikit-learn;./scikit-learn\examples\ensemble\plot_voting_regressor.py;73;21;20;0;0;0.0;0.0;0;0;1;6;0
scikit-learn;./scikit-learn\examples\feature_selection\plot_feature_selection.py;108;36;25;0;0;0.0;0.0;0;0;1;8;0
scikit-learn;./scikit-learn\examples\feature_selection\plot_feature_selection_pipeline.py;68;37;18;0;0;0.0;0.0;0;0;1;7;0
scikit-learn;./scikit-learn\examples\feature_selection\plot_f_test_vs_mi.py;39;2;13;0;0;0.0;0.0;0;0;3;9;0
scikit-learn;./scikit-learn\examples\feature_selection\plot_rfe_digits.py;44;6;13;0;0;0.0;0.0;0;0;3;9;0
scikit-learn;./scikit-learn\examples\feature_selection\plot_rfe_with_cross_validation.py;97;37;18;0;0;0.0;0.0;0;0;2;8;0
scikit-learn;./scikit-learn\examples\feature_selection\plot_select_from_model_diabetes.py;169;88;23;0;0;0.0;0.0;0;0;2;11;0
scikit-learn;./scikit-learn\examples\frozen\plot_frozen_examples.py;84;37;14;0;0;0.0;0.0;0;0;1;11;0
